Country Name,"Life expectancy at birth, total (years)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Prevalence of undernourishment (% of population),"Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (CHE) per capita in US$,GDP per capita (current US$),"International migrant stock, total",Net Migration,Refugee population by country or territory of asylum,Refugee population by country or territory of origin,"Population, total",Population ages 0-14 (% of total population),Population density (people per sq. km of land area),Urban Population,Population living in slums (% of urban population),Poverty headcount ratio at national poverty lines (% of population)
Nepal,70.778,19.578,6.322,4.8,93,53.25,1194.956876,518278,208549,19570,8033,28608715,29.5703756,199.5724799,5765514,49.29999924,
Palau,,11.2,10.8,,97,2356,15232.48708,5664,,,,18001,,39.1326087,14485,,
New Zealand,81.70731707,11.96,6.87,2.5,92,4211,42755.21626,1039736,74403,1709,34,4979300,19.56660408,18.91040978,4312821,,
OECD members,80.20508989,11.0842363,8.553475909,3.192395267,93.24324503,,39552.6618,128976484,16430707,6984345,297455,1364841892,17.90820344,38.43337978,1102880496,,
Oman,77.861,18.513,2.422,8.2,99,624.7,17700.70349,1844978,437000,308,42,4974992,22.41839475,16.07428756,4250782,,
Other small states,68.82187619,22.77096986,7.17594139,15.05414197,85.84326587,,13799.58669,4185638,470312,55189,33126,31361259,29.78460521,15.43155646,19631283,,
Pakistan,67.273,27.841,6.893,12.9,75,39.5,1288.556325,3628956,-1166895,1419596,136902,216565317,35.05437791,280.9325926,79927762,40.09999847,21.9
Peru,76.736,17.756,5.579,8.7,88,370.1,7027.612207,90881,495345,2850,2765,32510462,25.25449584,25.39879844,25390346,33.09999847,20.5
Papua New Guinea,64.501,26.793,7.352,24.6,35,65.08,2820.306397,25782,-3999,9698,475,8776119,35.48596536,19.37932032,1162836,,
Poland,77.85609756,9.9,10.8,2.5,95,1014,15732.20313,619403,-146976,12658,961,37965475,15.18538648,124.0012901,22793332,0.01,15.4
Pre-demographic dividend,61.17597806,36.09353878,8.447750387,23.29798832,72.63421183,,1489.822323,13348827,-2213380,5765872,9984333,944902748,43.47367163,46.61467201,394746859,57.10237189,
Puerto Rico,79.9285122,6.4,9.4,,,,32850.54861,274972,-489932,,,3193694,16.26077927,360.0556933,2988531,,
"Korea, Dem. People's Rep.",72.274,13.848,9.205,42.4,97,,,48458,-27013,,758,25666158,19.99328221,213.1563658,15947411,,
