Country Name,"Life expectancy at birth, total (years)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Prevalence of undernourishment (% of population),"Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (CHE) per capita in US$,GDP per capita (current US$),"International migrant stock, total",Net Migration,Refugee population by country or territory of asylum,Refugee population by country or territory of origin,"Population, total",Population ages 0-14 (% of total population),Population density (people per sq. km of land area),Urban Population,Population living in slums (% of urban population),Poverty headcount ratio at national poverty lines (% of population)
Central African Republic,53.283,35.09,11.974,48.2,47,37.2,467.9080323,81598,-200000,7170,610152,4745179,43.92001576,7.616904234,1982061,95.40000153,
Canada,82.04878049,9.9,7.6,2.5,91,5048,46338.34096,7835502,1210159,101757,71,37593384,15.84589974,4.193074187,30631841,0.01,
Central Europe and the Baltics,77.14410292,9.777166907,11.98180006,2.613957693,94.13122027,,16346.55494,3394733,-642033,50200,33686,102398537,15.23712681,92.56227704,63935741,5.467512673,
Switzerland,83.70487805,10,7.9,2.5,96,9666,85334.51946,2438702,259999,110162,5,8575280,14.9406759,217.0076296,6332759,,16
Channel Islands,83.086,9.811,7.824,,,,,82307,6754,,,172264,15.06742754,870.020202,53283,,
Chile,80.181,12.187,6.254,3.4,96,1376,14741.7144,469436,558539,2046,486,18952035,19.49427286,25.48919885,16610132,8.800000191,
China,76.912,10.5,7.1,2.5,99,535.1,10143.83817,978046,-1741996,303379,212863,1407745000,17.80450834,149.3675732,848982855,24.60000038,1.7
Cote d'Ivoire,57.783,35.464,9.869,14.9,84,,2276.332394,2175399,-40000,2020,39351,25716554,41.71470319,80.86966667,13176905,60.09999847,39.5
Cameroon,59.292,34.891,9.059,5.3,67,54,1533.095688,381984,-24000,406259,66241,25876387,42.36213102,54.7405111,14741260,33.70000076,
"Congo, Dem. Rep.",60.681,40.639,9.292,41.7,57,,580.7168706,545694,119303,523733,802974,86790568,46.00139898,38.28348206,39095679,77.5,
"Congo, Rep.",64.57,32.397,6.612,37.7,79,,2369.729494,392996,-20000,25668,12743,5380504,41.5372489,15.7555022,3625007,47.79999924,
Hungary,76.02195122,9.5,13.3,2.5,99,1062,16735.65978,449632,29999,5750,4007,9771141,14.43321973,107.0692636,7000436,13.60000038,12.3
Colombia,77.287,14.655,5.63,8.8,92,495.3,6424.979492,133134,1023981,634,189254,50339443,22.62078466,45.37128707,40827302,27.79999924,
Comoros,64.321,31.407,7.135,,91,72.32,1401.542312,12555,-10000,,658,850891,39.28587378,457.222461,248154,68.40000153,
Cabo Verde,72.981,19.061,5.576,15.4,96,177.9,3603.775241,14924,-6709,,10,549936,28.40644803,136.4605459,364030,,
Costa Rica,80.279,13.689,5.152,3.1,95,921.6,12693.82796,421697,21000,6204,206,5047561,21.0786358,98.85548374,4041885,3.900000095,22.9
Caribbean small states,73.75473231,15.66409025,7.644495463,6.955462752,93.51089603,,10291.80732,349562,-87055,2410,6080,7401389,23.47308928,18.28180561,3802091,33.47822884,
Curacao,,10.1,8.8,,,,19701.27038,37611,2573,42,35,157441,18.49422361,354.5968468,140277,,
Cayman Islands,,9.8,3.8,,,,91392.64259,23726,,34,6,64948,,270.6166667,64948,,
Cyprus,80.982,10.24,7.099,2.5,96,1996,29206.07672,196167,25000,12311,,1198574,16.70708967,129.7158009,800707,,14.7
Czech Republic,79.12926829,10.5,10.5,2.5,97,,23660.14881,405093,110057,2054,1166,10671870,15.72295013,138.236658,7888753,,10.1
Germany,80.94146341,9.4,11.3,2.5,93,5440,46794.89929,12005690,2719112,1146682,69,83092962,13.79948848,237.8297613,64294010,0.01,14.8
Djibouti,67.112,20.998,6.979,16.2,85,61.81,3414.916178,112351,4501,19639,2351,973557,29.20497966,41.99987058,758547,64.5,
Dominica,,,,5.6,99,440.2,8516.280039,6720,,,50,71808,,95.744,50830,,
Denmark,81.20243902,10.5,9.3,2.5,97,6003,59775.7351,572520,75998,37533,5,5814422,16.40095872,145.36055,5116342,0.001,12.5
Dominican Republic,74.081,19.193,6.188,8.3,89,491.1,8282.117131,415564,-150000,164,546,10738957,27.7086939,222.2926309,8787474,14.80000019,22.8
Algeria,76.88,23.583,4.716,2.5,91,248.2,3989.668276,242391,-50002,98599,4519,43053054,30.55037861,18.07629545,31510100,,
East Asia & Pacific (excluding high income),75.40970324,12.75185247,6.965208582,4.532076928,92.48073361,,8145.345437,8353990,-3791004,550719,1642818,2103705075,20.35662421,131.3229381,1190440960,26.39512073,
Early-demographic dividend,70.70120132,19.92395078,6.636410839,12.01731239,86.30382442,,3503.439733,50581758,-11460012,14799055,8922340,3290291029,28.56626985,98.7550399,1498425040,31.72318483,
Latvia,75.23902439,9.8,14.5,2.5,99,1167,17926.84159,263126,-74186,665,144,1913822,16.30775621,30.8233532,1305648,,22.9
East Asia & Pacific,76.26520574,12.20346118,7.153616929,4.332353092,92.75388677,,11478.03313,25557256,-2057249,616499,1643135,2350703749,19.63604748,95.93758105,1407811694,26.39512073,
Europe & Central Asia (excluding high income),73.93536301,13.54935487,10.2381847,2.705442909,95.52006973,,8343.550431,28128832,1510981,3709476,319992,418757748,21.16457794,18.50738286,280118386,,
Europe & Central Asia,78.03127739,11.34112178,10.07759639,2.600813372,95.19320582,,24906.43673,85288550,7894029,6565787,352345,920806339,18.06590625,33.54744027,665476579,,
Ecuador,77.01,19.46,5.121,12.4,85,486.5,6222.524653,387513,182000,104560,1644,17373657,27.70696817,69.95352311,11116708,20.10000038,23.2
"Egypt, Arab Rep.",71.99,25.708,5.778,5.4,95,,3019.092283,491643,-190164,258391,27416,100388076,33.83483016,100.8469295,42895825,5.199999809,
Euro area,82.03854822,9.101794385,10.02936651,2.523901983,94.78252574,,39188.63654,40935248,4446572,2254353,2324,342282081,15.02560197,127.6004267,264348445,,
Eritrea,66.321,29.738,7.012,,95,25.27,,15941,-199290,199,504300,,,34.62492079,,,
Spain,83.48536585,7.6,8.8,2.5,96,2711,29555.3157,5852953,200000,57751,51,47133521,14.57687197,94.34185906,37973121,5.5,20.7
Estonia,78.49756098,10.6,11.6,2.5,91,1599,23397.12001,202348,19555,331,274,1326898,16.46326928,30.52445365,916236,,21.7
Ethiopia,66.597,31.896,6.418,16.2,69,26.74,855.7608852,1072949,150002,733123,93467,112078727,40.33644118,99.24615983,23788710,64.30000305,
European Union,81.06384682,9.290774398,10.39076923,2.526093898,94.72576862,,35083.80749,45527606,4281648,2591349,34187,447196538,15.13474056,111.8096871,334222735,,
Fragile and conflict affected situations,62.48008834,32.96829971,8.454688972,22.40496238,68.12393298,,1828.649338,14761958,-9804237,8896931,17894287,908739462,40.56151216,45.55602185,382674667,58.39653562,
Panama,78.506,18.705,5.108,7.5,88,1193,15774.25494,184710,56000,2536,45,4246440,26.77912011,57.24739475,2890085,22.10000038,
Finland,81.78536585,8.3,9.8,2.5,91,4450,48628.64176,315881,70000,23458,,5521606,16.01634155,18.16795867,4717991,,11.6
Fiji,67.444,20.954,8.257,5.6,99,235.7,6175.890653,13751,-31008,12,591,889955,29.2936818,48.71127531,505049,11.19999981,
France,82.57804878,11.2,9.1,2.5,96,4492,40578.64429,7784418,182636,407915,50,67248926,17.80215787,122.8163022,54275936,,13.6
Faroe Islands,82.74634146,13.2,8,,,,64225.2649,5517,,,,48677,,34.86891117,20554,,
"Micronesia, Fed. Sts.",67.883,22.712,6.615,,78,,3585.392449,2756,-2999,,,113811,31.45543206,162.5871429,25963,,
Gabon,66.467,30.968,6.704,15.7,70,215,7766.996554,268384,16301,454,440,2172578,37.1795456,8.431629604,1949693,36.59999847,
United Kingdom,81.20487805,10.7,9,2.5,93,,43070.49836,8543120,1303250,133083,69,66836327,17.69570052,276.2630802,55909924,,
Georgia,73.767,13.2,12.791,8.7,94,291.1,4697.983652,168802,-50000,1355,7519,3720161,20.03142542,65.08556982,2196346,34.09999847,20.1
Ghana,64.074,28.992,7.219,6.1,97,75.28,2246.625578,399471,-50000,11946,18432,30417858,37.36487213,133.6813659,17249055,30.39999962,
Gibraltar,,,,,,,,11065,,,,33706,,3370.6,33706,,
Guinea,61.602,35.965,8.225,,47,43.04,1058.143368,228413,-20000,4964,26857,12771246,43.44998914,51.97479245,4661505,50.09999847,43.7
"Gambia, The",62.05,38.073,7.722,13.6,88,,772.0459142,192540,-15436,4302,17813,2347696,44.12711813,231.9857708,1453952,27.10000038,
Guinea-Bissau,58.322,34.559,9.434,,84,62.58,749.453747,22333,-6996,1846,2093,1920917,42.15366371,68.31141536,840920,74.40000153,
Lithuania,76.13414634,9.8,13.7,2.5,92,1370,19575.76848,136036,-163902,1822,61,2794137,15.13545128,44.61339614,1895962,,20.6
Equatorial Guinea,58.735,32.783,9.112,,53,254.9,8419.933336,10825,79998,,156,1355982,36.95679749,48.34160428,984809,64.90000153,
Greece,81.93902439,7.8,11.7,2.5,99,1501,19133.75776,1242514,-80000,80454,95,10721582,13.89659859,83.17751746,8511650,3,17.9
Grenada,72.397,16.198,9.582,,92,534.3,10827.43529,7057,-1000,,80,112002,23.71722186,329.4176471,40764,6,
Greenland,,15.1,9.8,,,,53041.30331,6009,,,,56225,,0.136983798,48945,,
Guatemala,74.302,24.21,4.72,16.8,85,271,4638.634943,76352,-46073,408,22770,16604026,33.85933214,154.946118,8540945,31,
Guam,80.074,16.46,5.273,,,,38040.58699,76089,-2532,,,167295,24.13415903,309.8055556,158694,,
Guyana,69.906,19.723,7.551,5.2,99,325.9,6609.51128,15384,-30001,14,284,782775,27.92993053,3.976504953,208915,31.10000038,
High income,80.88736686,10.03950137,8.853024765,2.618125977,94.93744515,,45462.37168,157500496,16158522,3398535,39103,1210795776,16.41481321,34.64728596,987633802,,
"Hong Kong SAR, China",85.07804878,7,6.5,2.5,,,48354.47337,2838665,146542,128,5,7507400,12.32670813,7149.904762,7507400,,
Honduras,75.27,21.337,4.45,13.5,87,187.6,2556.456891,28070,-34000,75,26351,9746115,31.15942483,87.10443293,5626432,38.59999847,50.4
Heavily indebted poor countries (HIPC),63.48645533,34.86789529,7.54273529,23.49838353,77.03808626,,985.1862838,11941421,-1462971,5566125,7518215,801708019,42.5516028,41.41626049,292473355,58.47953448,
Haiti,64.001,23.959,8.448,46.8,51,56.99,1312.770636,39529,-175000,,26734,11263079,32.8585874,408.6748549,6328949,65.90000153,
IBRD only,73.61359351,15.30380328,7.197749286,7.875268948,90.24999068,,6461.334545,62895828,-6056175,10805653,1914873,4826259460,23.37349115,67.90750306,2684649049,25.57450895,
IDA & IBRD total,71.27948622,19.2992906,7.290100286,10.29202962,84.75601534,,5144.345338,87196231,-15664439,20345849,19916303,6496952025,27.29724579,67.63389222,3310137127,30.9804534,
IDA total,64.53630894,30.84219609,7.556901001,18.05574342,76.10821795,,1340.363459,24300403,-9608264,9540196,18001430,1670692565,38.64502589,66.85573326,625488078,52.87480395,
IDA blend,62.40899722,31.48515039,8.437891273,14.11394203,69.32836634,,1777.851069,8353589,-2260137,2363258,535476,561571929,38.72775199,128.0804486,239831544,46.77450243,
Indonesia,71.716,17.746,6.51,6.5,85,120.1,4135.201531,328846,-494777,10287,12039,270625567,26.21511948,144.1399885,151509724,30.60000038,9.8
IDA only,65.61334387,30.51667528,7.11086515,20.31842382,79.60001383,,1118.853957,15946814,-7348127,7176938,17465954,1109120636,38.6030749,53.82776028,385656534,56.67777554,
Isle of Man,,,,,,,86481.55259,45221,,,,84589,,148.4017544,44608,,
India,69.656,17.644,7.265,15.3,91,63.75,2100.751461,5240960,-2663434,195103,11787,1366417756,26.61826465,459.5796959,471031529,35.20000076,
Not classified,,,,,,,,,,,,,,,,,
Ireland,82.30243902,12.1,6.3,2.5,94,5429,80886.61574,746260,118020,7795,,4934340,21.15037496,71.62636087,3128618,,13.1
"Iran, Islamic Rep.",76.677,18.42,4.842,5.5,99,,3114.622753,2726420,-274998,979435,128998,82913893,24.65465805,50.90614517,62509613,25.29999924,
Iraq,70.604,28.556,4.736,37.5,84,253.3,5980.626918,353881,39171,273986,336274,39309789,38.02092726,90.54884504,27783373,45.70000076,
Kuwait,75.489,13.251,2.802,2.5,91,1759,32373.25112,2866136,197600,686,1300,4207077,21.56983829,236.0873737,4207077,,
Iceland,82.56097561,12.3,6.3,2.5,91,6275,68941.46223,37522,1900,894,5,360563,19.64717091,3.575949618,338406,,
Israel,82.80487805,20.1,5.1,2.5,98,3456,43951.24773,2011727,50002,16107,452,9054000,27.88557191,418.3918669,8375041,,
Italy,83.19756098,7,10.5,2.5,95,2906,33641.63375,5788875,744713,207602,76,59729081,13.16665751,200.6149229,42249963,,20.1
Jamaica,74.475,15.907,7.591,7.7,96,327.4,5369.498371,23167,-56658,,2529,2948277,23.5312194,272.23241,1650593,57.09999847,
Jordan,74.526,21.477,3.889,9.5,89,334,4405.487109,3112026,51099,2966079,2313,10101697,33.56224213,113.783476,9213051,23.39999962,15.7
Japan,84.35634146,7,11.1,2.5,98,4360,40777.6087,2043877,357800,1463,39,126264931,12.57303102,346.4058464,115782416,,
Kazakhstan,73.18,21.73,7.19,2.5,97,273,9812.595808,3546778,-90000,518,2757,18513673,28.88124994,6.85767789,10652767,,4.3
Kenya,66.699,28.298,5.393,24.8,92,83.41,1912.647867,1084357,-50000,438899,7705,52573967,39.19337426,92.37440173,14461521,46.5,
Kyrgyz Republic,71.6,26.9,5.2,7.2,95,,1374.032105,204382,-20000,347,2963,6456200,32.50169502,33.66110532,2362388,9.699999809,22.4
Cambodia,69.823,22.02,5.992,6.2,92,113.3,1643.121389,73963,-149999,,11986,16486542,31.09919594,93.39758668,3924621,45.09999847,
Kiribati,68.369,27.453,6.28,4.1,97,172.3,1601.861869,3153,-3999,,,117608,35.83830757,145.1950617,64490,,
St. Kitts and Nevis,,,,,96,,22046.68991,7443,,5,57,52834,,203.2076923,16272,,
"Korea, Rep.",83.22682927,5.9,5.7,2.5,98,,31936.79635,1327324,58657,3196,180,51709098,12.74644361,530.2409557,42106719,,
Latin America & Caribbean (excluding high income),75.59132639,16.25496464,6.307839923,6.944054135,80.93261573,,8226.236324,6335941,604241,185216,344704,589503742,24.27804714,32.3710405,473037212,19.92652523,
Lao PDR,67.923,23.117,6.371,5.3,68,,2635.800015,22244,-73518,,6757,7169456,32.30299932,31.06350087,2555553,21.10000038,18.3
Lebanon,78.93,17.377,4.457,9.3,83,663.1,7578.172368,1997776,-150060,1392174,5647,6855709,25.57221984,670.1572825,6084990,61.09999847,
Liberia,64.104,32.687,7.381,38.9,74,52.56,672.3404992,113779,-25000,8225,5365,4937374,40.75291845,51.26011213,2548426,70.30000305,
Libya,72.913,18.3,5.101,,73,,7685.948132,771146,-9997,4730,16033,6777453,28.06827699,3.851832297,5448598,,
St. Lucia,76.203,11.839,7.263,,92,,11591.08048,12771,0,,843,182795,18.21106187,299.6639344,34281,11.19999981,
Latin America & Caribbean,75.60149504,16.11564496,6.38157924,7.722481003,80.60463083,,8705.117098,8946249,-2606469,257918,439724,646430786,24.19874734,32.25867199,522741449,20.75693371,
Least developed countries: UN classification,65.34542124,31.08081352,7.171154196,21.03785319,78.06509899,,1071.583498,11940491,-4861511,6605694,10765040,1033388868,39.12857127,50.7234679,352399560,58.88420211,
