"","Country","Region","Programme","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","ISO_code"
"341","Uganda","EAST AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1542918.03,"UGA"
"342","Uganda","EAST AFRICA","HPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3731040.3,6467780.45,3266600,"UGA"
"343","Uganda","EAST AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178009.94,111062.25,NA,"UGA"
"344","Ukraine","EURO","HepB",NA,NA,995984.42,337117.32,442521.38,393817.07,282173.44,253393.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UKR"
"345","Uzbekistan","EURO","HepB","574015",963452,565691.6,438123.2,642389.19,713912.76,461075.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UZB"
"346","Uzbekistan","EURO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,7047713.6,7850596.31,4442926.56,3345914.65,2531003.1,2743404.68,2033029.9,1530343.53,497125,"UZB"
"347","Uzbekistan","EURO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8286967.08,4809141.75,4696970,"UZB"
"348","Uzbekistan","EURO","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2324845.18,2111784.79,1521313.55,1129344.26,"UZB"
"349","Uzbekistan","EURO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34153.83,49124.8,NA,"UZB"
"350","Vietnam","WPRO","HepB",NA,2327057.08,2667414.7,1930637,1448230.68,1674998.88,553880.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","Vietnam","WPRO","Measles",NA,NA,NA,NA,NA,NA,762000,628500,654000,622000,707000,NA,NA,NA,NA,NA,NA,NA
"352","Vietnam","WPRO","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16379605.2,NA,NA,NA,NA
"353","Vietnam","WPRO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,0,17917588.6,14837090.6,12651774.68,11375767.01,10450936.13,11122341.42,8343596.32,3600000,NA
"354","Vietnam","WPRO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19112.25,73274.75,NA,NA
"355","Yemen","EMRO","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8313136.28,NA,NA,NA,"YEM"
"356","Yemen","EMRO","Pentavalent",NA,NA,NA,NA,9976623.19,7723057.17,5519799.94,6579236.9,5589815.35,5553215.65,7429041.61,5045497.62,4330196.82,5957367.02,3269993.09,3864636.25,1200025,"YEM"
"357","Yemen","EMRO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,7014763.92,14693594.27,17776638.13,17853300.72,11112268.75,7758301.74,6231894.46,2748200,"YEM"
"358","Yemen","EMRO","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3317377.27,4301693.72,4325461.42,2678622.8499,1594836.38,1131836.07,"YEM"
"359","Yemen","EMRO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379899.49,1363091.4,NA,534760,"YEM"
"360","Zambia","SOUTH AFRICA","Measles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149877.55,282085.21,183055.62,NA,NA,NA,"ZMB"
"361","Zambia","SOUTH AFRICA","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5704977.35,NA,"ZMB"
"362","Zambia","SOUTH AFRICA","Pentavalent",NA,NA,NA,NA,8212199.39,4620860.14,4936552.43,6129862.47,5003272.04,5500720.51,5736923.69,4852541.04,4662311.93,1882942.35,4592166.74,3308547.44,NA,"ZMB"
"363","Zambia","SOUTH AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4034667.58,9545872.65,5436110.09,9392121.37,4436278.79,1796150,"ZMB"
"364","Zambia","SOUTH AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,883497.06,3131400.44,3231556.74,1797560.96,1490196.72,"ZMB"
"365","Zambia","SOUTH AFRICA","DTP",NA,NA,NA,8878028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZMB"
"366","Zambia","SOUTH AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7806.2,50268.5,NA,"ZMB"
"367","Zimbabwe","SOUTH AFRICA","Measles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22143.75,42218,NA,"ZWE"
"368","Zimbabwe","SOUTH AFRICA","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3785235.12,NA,NA,"ZWE"
"369","Zimbabwe","SOUTH AFRICA","Pentavalent",NA,NA,NA,NA,NA,NA,NA,5867177.88,4001164.33,3446831.97,2952018.24,2505031.92,2700639.76,3170988.89,1811358.85,1127603.7,NA,"ZWE"
"370","Zimbabwe","SOUTH AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5207805.94,9480134.94,7079368.7,7375685.1,5036338.93,2112500,"ZWE"
"371","Zimbabwe","SOUTH AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191772.35,2384706.64,1629215.39,1846350.45,1058295.08,"ZWE"
"372","Zimbabwe","SOUTH AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18992,34790.5,NA,"ZWE"
